iter	RMSE
0	44785.90904
1	42776.84289
2	40940.22844
3	39195.11142
4	37722.40252
5	36257.11879
6	35001.4244
7	33749.00014
8	32709.19341
9	31785.24994
10	30903.29753
11	30017.82364
12	29280.80809
13	28647.24155
14	27974.11341
15	27462.42332
16	26807.95917
17	26360.374
18	25790.26401
19	25388.86175
20	24874.55621
21	24484.47271
22	24102.73374
23	23812.82064
24	23501.96351
25	23189.50955
26	22869.23695
27	22598.09791
28	22236.28284
29	22012.45158
30	21693.89939
31	21472.80575
32	21341.40332
33	21111.70967
34	20993.40993
35	20817.68049
36	20618.93878
37	20330.21978
38	20138.38063
39	19997.48473
40	19758.9661
41	19578.946
42	19423.9445
43	19242.06387
44	19168.03162
45	19024.76083
46	18949.49395
47	18841.49166
48	18684.42846
49	18553.72285
50	18449.75229
51	18332.52256
52	18221.69628
53	18155.23611
54	18042.63062
55	17973.81327
56	17871.86321
57	17807.89783
58	17721.65594
59	17619.96142
60	17510.32305
61	17402.44537
62	17307.29943
63	17262.38057
64	17166.36221
65	17125.45559
66	17010.84227
67	16901.41619
68	16789.46377
69	16733.15897
70	16663.3053
71	16579.26281
72	16500.42188
73	16412.87487
74	16322.69391
75	16248.0405
76	16161.43921
77	16135.92683
78	16103.95312
79	16029.98296
80	15966.05797
81	15891.94105
82	15819.17735
83	15795.87901
84	15725.64142
85	15618.82953
86	15586.37001
87	15547.05739
88	15496.887
89	15448.27464
90	15392.86071
91	15332.62343
92	15302.33877
93	15249.75648
94	15172.22628
95	15123.2196
96	15098.22945
97	15077.86053
98	15028.908
99	15017.10198
100	14936.30798
101	14891.88798
102	14862.21
103	14824.75266
104	14782.99798
105	14741.07449
106	14689.10456
107	14668.85314
108	14630.74477
109	14599.68893
110	14556.24061
111	14521.35678
112	14491.61682
113	14444.90192
114	14405.68618
115	14363.73225
116	14306.03639
117	14272.46637
118	14240.6975
119	14181.97615
120	14139.71317
121	14101.97748
122	14065.38239
123	14031.68781
124	14005.04755
125	13955.6711
126	13909.26449
