iter	Passed	Remaining
0	60	60055
1	62	31304
2	65	21709
3	68	16971
4	71	14137
5	73	12133
6	75	10713
7	77	9617
8	79	8781
9	82	8120
10	84	7589
11	86	7123
12	88	6734
13	90	6389
14	92	6099
15	95	5843
16	96	5607
17	99	5403
18	101	5223
19	103	5066
20	105	4916
21	107	4784
22	109	4667
23	112	4564
24	114	4463
25	116	4374
26	119	4289
27	121	4207
28	123	4126
29	125	4053
30	127	3984
31	129	3924
32	131	3867
33	134	3817
34	136	3765
35	138	3716
36	140	3667
37	143	3622
38	145	3586
39	147	3544
40	149	3503
41	152	3468
42	154	3432
43	156	3399
44	158	3369
45	160	3338
46	163	3308
47	165	3274
48	167	3248
49	169	3219
50	171	3195
51	173	3168
52	175	3142
53	178	3118
54	180	3095
55	182	3077
56	184	3056
57	186	3032
58	188	3011
59	191	2992
60	193	2972
61	195	2954
62	197	2935
63	199	2917
64	201	2899
65	203	2882
66	205	2865
67	207	2850
68	210	2837
69	212	2824
70	214	2812
71	217	2800
72	219	2786
73	221	2773
74	223	2758
75	225	2744
76	227	2730
77	229	2718
78	231	2704
79	234	2693
80	236	2680
81	238	2667
82	240	2654
83	242	2644
84	244	2631
85	246	2621
86	248	2611
87	250	2600
88	253	2591
89	255	2580
90	257	2569
91	259	2559
92	261	2550
93	263	2541
94	265	2532
95	268	2524
96	270	2515
97	272	2506
98	274	2497
99	276	2488
100	278	2479
101	280	2472
102	283	2464
103	285	2457
104	287	2448
105	289	2440
106	291	2432
107	293	2426
108	295	2418
109	298	2411
110	299	2402
111	302	2395
112	304	2388
113	306	2380
114	308	2372
115	310	2365
116	312	2359
117	314	2353
118	316	2345
119	318	2339
120	321	2332
121	323	2325
122	325	2318
123	327	2311
124	329	2305
125	331	2298
126	333	2293
127	335	2288
128	337	2281
129	340	2275
130	342	2269
131	344	2263
132	346	2257
133	348	2251
134	350	2246
135	352	2240
136	354	2233
137	356	2228
138	358	2222
139	360	2215
140	362	2210
141	364	2204
142	366	2199
143	369	2194
144	371	2189
145	373	2184
146	375	2178
147	377	2174
148	379	2170
149	381	2164
150	383	2159
151	386	2154
152	388	2149
153	390	2145
154	392	2141
155	394	2135
156	396	2130
157	399	2126
158	401	2122
159	403	2119
160	405	2114
161	407	2109
162	409	2104
163	411	2099
164	413	2094
165	416	2090
166	418	2085
167	420	2080
168	422	2077
169	424	2072
170	426	2068
171	428	2063
172	430	2059
173	432	2055
174	435	2050
175	437	2046
176	439	2041
177	441	2038
178	443	2034
179	445	2030
180	447	2026
181	449	2021
182	451	2017
183	453	2013
184	456	2009
185	458	2005
186	460	2002
187	462	1998
188	464	1994
189	467	1991
190	469	1987
191	471	1984
192	473	1980
193	475	1975
194	477	1971
195	479	1968
196	481	1964
197	484	1961
198	486	1958
199	488	1955
200	490	1951
201	493	1947
202	495	1944
203	497	1940
204	499	1936
205	501	1932
206	503	1929
207	505	1925
208	507	1922
209	509	1918
210	512	1914
211	514	1911
212	516	1908
213	518	1905
214	520	1901
215	523	1898
216	525	1895
217	527	1892
218	529	1888
219	531	1884
220	533	1881
221	535	1877
222	537	1874
223	539	1870
224	542	1866
225	544	1863
226	546	1860
227	548	1856
228	550	1852
229	552	1849
230	554	1846
231	556	1842
232	558	1839
233	561	1836
234	563	1833
235	565	1830
236	567	1827
237	569	1823
